"","id","TimeStamp","Date","Time","type","instrument","residence_time_sec","units","campaign","loc_samp","cas","procedure","mdl","ANALYTE_H2S","ANALYTE_CH4","GPS-Latitude","GPS-Longitude","Latitude","Longitude","True-Track","Mag-Track","Ground-Speed","Wind-Speed","Wind-Direction","Air-Temp","Barometer","GPS-DoP","ANALYTE_H2S_flag","ANALYTE_CH4_flag"
"1","MA01",2024-09-11 08:55:00,"2024-09-11","08:55:00","Picarro","Picarro-G2204","0.0","ppb","LivingstonLandfill","off","7783-06-4","picarro",10.69,-0.0097,2.1561,40.932432,-88.643537,40.932507,-88.64355,355.6,358.4,49.772,11,101.1,21.6,1018.3,0.6,"MD,TESTTESTTEST,WHOOPER","WHOOPER"
"2","MA01",2024-09-11 08:55:01,"2024-09-11","08:55:01","Picarro","Picarro-G2204","0.0","ppb","LivingstonLandfill","off","7783-06-4","picarro",10.69,-0.0097,2.1561,40.932637,-88.643559,40.932712,-88.643575,355.6,358.4,50.393,11.2,102.8,21.6,1018.2,0.6,"MD,TESTTESTTEST,WHOOPER","WHOOPER"
"3","MA01",2024-09-11 08:55:02,"2024-09-11","08:55:02","Picarro","Picarro-G2204","0.0","ppb","LivingstonLandfill","off","7783-06-4","picarro",10.69,-0.0097,2.1561,40.932842,-88.643578,40.932917,-88.643593,355.8,358.6,50.58,11.6,102,21.6,1018.1,0.6,"MD,TESTTESTTEST,WHOOPER","WHOOPER"
"4","MA01",2024-09-11 08:55:03,"2024-09-11","08:55:03","Picarro","Picarro-G2204","0.0","ppb","LivingstonLandfill","off","7783-06-4","picarro",10.69,-0.0097,2.1593,40.933043,-88.643595,40.933118,-88.643607,356.2,359,50.269,11.3,106.9,21.6,1018.1,0.6,"MD,TESTTESTTEST,WHOOPER","WHOOPER"
"5","MA01",2024-09-11 08:55:04,"2024-09-11","08:55:04","Picarro","Picarro-G2204","0.0","ppb","LivingstonLandfill","off","7783-06-4","picarro",10.69,2.9112,2.1593,40.933241,-88.643609,40.933318,-88.643622,356.5,359.3,49.772,10.8,109.8,21.6,1018.2,0.6,"MD,TESTTESTTEST,WHOOPER","WHOOPER"
"6","MA01",2024-09-11 08:55:05,"2024-09-11","08:55:05","Picarro","Picarro-G2204","0.0","ppb","LivingstonLandfill","off","7783-06-4","picarro",10.69,2.9112,2.1593,40.933439,-88.643622,40.93352,-88.643635,356.8,359.6,49.772,10.9,108.3,21.6,1018.2,0.6,"MD,TESTTESTTEST,WHOOPER","WHOOPER"
"7","MA01",2024-09-11 08:55:06,"2024-09-11","08:55:06","Picarro","Picarro-G2204","0.0","ppb","LivingstonLandfill","off","7783-06-4","picarro",10.69,2.9112,2.1601,40.933639,-88.643633,40.93372,-88.643647,357,359.8,50.145,10.9,109.4,21.6,1018.1,0.6,"MD,TESTTESTTEST,WHOOPER","WHOOPER"
"8","MA01",2024-09-11 08:55:07,"2024-09-11","08:55:07","Picarro","Picarro-G2204","0.0","ppb","LivingstonLandfill","off","7783-06-4","picarro",10.69,1.0252,2.1601,40.933841,-88.643645,40.933923,-88.643658,357.2,0,50.145,11.1,108.6,21.6,1018.1,0.6,"MD,TESTTESTTEST,WHOOPER","WHOOPER"
"9","MA01",2024-09-11 08:55:08,"2024-09-11","08:55:08","Picarro","Picarro-G2204","0.0","ppb","LivingstonLandfill","off","7783-06-4","picarro",10.69,1.0252,2.1601,40.93404,-88.643653,40.934123,-88.643667,357.5,0.3,49.896,11.4,110,21.6,1018.1,0.6,"MD,TESTTESTTEST,WHOOPER","WHOOPER"
"10","MA01",2024-09-11 08:55:09,"2024-09-11","08:55:09","Picarro","Picarro-G2204","0.0","ppb","LivingstonLandfill","off","7783-06-4","picarro",10.69,1.0252,2.1602,40.934236,-88.643659,40.934323,-88.643672,358.2,1,49.585,11.2,111.6,21.6,1018.1,0.6,"MD,TESTTESTTEST,WHOOPER","WHOOPER"
